Name,Members?,Short Desc,STR min,STR max,DEX min,DEX max,STM min,STM max,VIT min,VIT max,INT min,INT max,CHA min,CHA max,Luck,Survival,Combat,Profession 1,Profession 2
Dragonborn,0,Humanoid lizardfolk,30,100,1,65,10,90,50,100,20,80,40,90,,,,Politician,Firebuilding
Dwarf,0,Stocky mountain dwellers,25,90,5,6,10,90,40,90,20,80,20,85,,,10,Geoworking,
Elf,0,"Haughty, artsy, and slender",1,45,50,100,20,100,10,60,30,100,30,100,,,,Adv. Magic,Spirituality
Gnome,0,"Playful, inventive, and friendly",1,45,20,80,10,90,10,50,50,100,30,95,,10,,Engineering,Geoworking
Goliath,0,Nomadic and under civilized,35,100,1,60,10,90,50,100,1,55,1,60,,,,Tracking,Animal Handling
Halfling,0,"Fun loving, cheerful, and compassionate",1,40,35,100,10,90,5,50,20,80,30,90,2,,,Music,Pyrotechnics
Human,0,"Driven by power, money, and profession",15,90,15,90,10,80,25,75,25,90,20,90,,,,All,
Orc,0,Combative hordes without homes,40,100,1,50,20,100,50,100,5,55,10,60,,10,20,Combat,
Satyr,1,"Lustful, musical, half goats",15,45,10,70,10,80,25,50,20,80,50,100,,10,,Music,
Tabaxi,1,Humanoid cats,15,50,50,100,5,65,30,80,25,90,50,100,,,,Scholar,
Tiefling,0,Self centered half demons,15,90,35,90,10,80,40,90,30,100,50,100,1,,,Adv. Magic,
Aarakocra,1,"Regal, rare birdfolk",5,50,50,100,10,60,10,50,50,100,30,,,,,,
Genasi,1,Elemental masters,1,100,1,100,1,100,1,50,30,80,1,,,,,,
BugBear,0,Nightmarish fiend of the forrest,50,100,5,50,10,40,20,100,1,50,10,,,,,,
Firbolg,0,Forrest dwelling magical naturalists,5,50,30,80,20,80,20,80,30,80,,,,,,,
Goblin,0,"Short, fiesty, pests",5,30,40,80,10,40,10,50,1,50,,,,,,,
Hobgoblin,0,Warmongering devils,30,100,10,60,30,80,20,70,25,60,,,,,,,
Kenku,0,Vagabond ravenfolk,1,30,90,130,10,50,1,35,20,65,,,,,,,
Kobold,0,Timid lizardfolk pests,15,50,40,90,10,70,20,60,1,50,,,,,,,
Triton,1,Guardians of the ocean,20,100,30,90,10,100,40,100,30,80,,,,,,,
Centaur,0,Half human half horse,20,80,10,80,10,130,25,75,25,80,,,,,,,
Minotaur,0,Bullish beasts of battle,50,130,5,80,50,100,80,130,1,40,,,,,,,
Werewolf,1,Wolf turned dieased creature,30,90,40,90,20,100,50,100,10,45,,,,,,,
